Causas (lista perinatal reducida);Sexo;Nacional;Comunidades y Ciudades Autónomas;Total
01-93 I-XXII.Todas las causas;Ambos sexos;Total;;413
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Andalucía;94
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Aragón;7
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Asturias, Principado de;7
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Balears, Illes;13
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Canarias;12
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Cantabria;7
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Castilla y León;23
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Castilla-La Mancha;15
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Catalu¤a;75
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Comunitat Valenciana;39
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Extremadura;3
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Galicia;18
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Madrid, Comunidad de;58
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Murcia, Región de;17
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Navarra, Comunidad Foral de;2
01-93 I-XXII.Todas las causas;Ambos sexos;Total;País Vasco;17
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Rioja, La;2
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Ceuta;1
01-93 I-XXII.Todas las causas;Ambos sexos;Total;Melilla;1
01-93 I-XXII.Todas las causas;Ambos sexos;Extranjero;;2
01-93 I-XXII.Todas las causas;Hombres;Total;;225
01-93 I-XXII.Todas las causas;Hombres;Total;Andalucía;54
01-93 I-XXII.Todas las causas;Hombres;Total;Aragón;5
01-93 I-XXII.Todas las causas;Hombres;Total;Asturias, Principado de;2
01-93 I-XXII.Todas las causas;Hombres;Total;Balears, Illes;4
01-93 I-XXII.Todas las causas;Hombres;Total;Canarias;4
01-93 I-XXII.Todas las causas;Hombres;Total;Cantabria;3
01-93 I-XXII.Todas las causas;Hombres;Total;Castilla y León;15
01-93 I-XXII.Todas las causas;Hombres;Total;Castilla-La Mancha;9
01-93 I-XXII.Todas las causas;Hombres;Total;Catalu¤a;47
01-93 I-XXII.Todas las causas;Hombres;Total;Comunitat Valenciana;17
01-93 I-XXII.Todas las causas;Hombres;Total;Extremadura;2
01-93 I-XXII.Todas las causas;Hombres;Total;Galicia;12
01-93 I-XXII.Todas las causas;Hombres;Total;Madrid, Comunidad de;31
01-93 I-XXII.Todas las causas;Hombres;Total;Murcia, Región de;10
01-93 I-XXII.Todas las causas;Hombres;Total;Navarra, Comunidad Foral de;0
01-93 I-XXII.Todas las causas;Hombres;Total;País Vasco;8
01-93 I-XXII.Todas las causas;Hombres;Total;Rioja, La;0
01-93 I-XXII.Todas las causas;Hombres;Total;Ceuta;1
01-93 I-XXII.Todas las causas;Hombres;Total;Melilla;0
01-93 I-XXII.Todas las causas;Hombres;Extranjero;;1
01-93 I-XXII.Todas las causas;Mujeres;Total;;188
01-93 I-XXII.Todas las causas;Mujeres;Total;Andalucía;40
01-93 I-XXII.Todas las causas;Mujeres;Total;Aragón;2
01-93 I-XXII.Todas las causas;Mujeres;Total;Asturias, Principado de;5
01-93 I-XXII.Todas las causas;Mujeres;Total;Balears, Illes;9
01-93 I-XXII.Todas las causas;Mujeres;Total;Canarias;8
01-93 I-XXII.Todas las causas;Mujeres;Total;Cantabria;4
01-93 I-XXII.Todas las causas;Mujeres;Total;Castilla y León;8
01-93 I-XXII.Todas las causas;Mujeres;Total;Castilla-La Mancha;6
01-93 I-XXII.Todas las causas;Mujeres;Total;Catalu¤a;28
01-93 I-XXII.Todas las causas;Mujeres;Total;Comunitat Valenciana;22
01-93 I-XXII.Todas las causas;Mujeres;Total;Extremadura;1
01-93 I-XXII.Todas las causas;Mujeres;Total;Galicia;6
01-93 I-XXII.Todas las causas;Mujeres;Total;Madrid, Comunidad de;27
01-93 I-XXII.Todas las causas;Mujeres;Total;Murcia, Región de;7
01-93 I-XXII.Todas las causas;Mujeres;Total;Navarra, Comunidad Foral de;2
01-93 I-XXII.Todas las causas;Mujeres;Total;País Vasco;9
01-93 I-XXII.Todas las causas;Mujeres;Total;Rioja, La;2
01-93 I-XXII.Todas las causas;Mujeres;Total;Ceuta;0
01-93 I-XXII.Todas las causas;Mujeres;Total;Melilla;1
01-93 I-XXII.Todas las causas;Mujeres;Extranjero;;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;;324
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Andalucía;72
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Aragón;7
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Asturias, Principado de;5
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Balears, Illes;11
